Mean Bids Price,Mean Bids Size,Mean Asks Price,Mean Asks Size,Price After 1min
91235.2268391626,25.52315346042917,214693.9894934971,0.3163355907238064,118581.835
91230.8880510898,25.5271081891609,214623.04156764608,0.3160450821504681,118531.415
91242.50195604534,25.51658267642297,214669.5638564044,0.3164587592682926,118503.695
91243.22259106356,25.51498322900061,214498.64499758143,0.3158961104345372,118530.385
91235.93532291368,25.52310430921281,214513.97777293983,0.3160618619593613,118469.09
91234.57330040028,25.52385935326196,214451.46857453667,0.3161169353497179,118448.565
91231.09002573472,25.526189494966165,214419.8503125504,0.3154183278073143,118470.965
91227.84521623082,25.52954069916304,214438.0345004834,0.3161764131445375,118207.025
91219.91202625388,25.536638325485978,214411.57573983085,0.3151914241482078,118178.115
91217.21985886391,25.53901090747131,214309.7926858706,0.315502180636466,118163.475
91210.09072271152,25.54546087787288,214239.9220125432,0.3157654020229959,118212.26
91214.48481275432,25.541504634128,214348.5236601465,0.3154916659116155,118164.745
